Year,ICD10_Code,ICD10_Diagnosis,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Value
2014/15,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,208759
2014/15,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,292146
2014/15,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,265514
2014/15,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,37759
2014/15,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,105932
2014/15,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,12166
2014/15,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,13257
2014/15,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,23659
2014/15,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,40273
2014/15,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,6739
2014/15,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,167889
2014/15,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,67991
2014/15,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,11431
2014/15,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,474600
2014/15,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,158500
2014/15,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,141500
2014/15,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,130800
2014/15,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,19900
2014/15,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,70500
2014/15,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,14000
2014/15,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,19400
2014/15,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3700
2014/15,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,700
2014/15,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,26700
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3700
2014/15,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3900
2014/15,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,6100
2014/15,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,2800
2014/15,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,7000
2014/15,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,5000
2014/15,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,93800
2014/15,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,42800
2014/15,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,40200
2014/15,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,57900
2014/15,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,6200
2014/15,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,16500
2014/15,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7200
2014/15,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,2800
2014/15,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,11200
2014/15,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,6100
2014/15,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,2700
2014/15,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,16600
2014/15,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,6700
2014/15,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,500
2014/15,All,All admissions,Hospital admissions,Number of admissions,All admissions,Male,5141482
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Male,931001
2014/15,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Male,828031
2014/15,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Male,300450
2014/15,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Male,522587
2014/15,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Male,719952
2014/15,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,47421
2014/15,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,15583
2014/15,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,21400
2014/15,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3886
2014/15,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,0
2014/15,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,52109
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,10123
2014/15,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,13745
2014/15,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,14470
2014/15,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3546
2014/15,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,25679
2014/15,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,3131
2014/15,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,58597
2014/15,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,105107
2014/15,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,161239
2014/15,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,179220
2014/15,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,22104
2014/15,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,53512
2014/15,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,9461
2014/15,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,8571
2014/15,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,12000
2014/15,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,17995
2014/15,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,2560
2014/15,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,70169
2014/15,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,19373
2014/15,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,0
2014/15,All,All admissions,Hospital admissions,Attributable number,All admissions,Male,293000
2014/15,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Male,108700
2014/15,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Male,73400
2014/15,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Male,91300
2014/15,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Male,10000
2014/15,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,40900
2014/15,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,11100
2014/15,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,14500
2014/15,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3100
2014/15,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,0
2014/15,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,22100
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3300
2014/15,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3300
2014/15,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3100
2014/15,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,1800
2014/15,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,5400
2014/15,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,2800
2014/15,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,45600
2014/15,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,25000
2014/15,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,27500
2014/15,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,42600
2014/15,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,3500
2014/15,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,9600
2014/15,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,5800
2014/15,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,2200
2014/15,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,6100
2014/15,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,2900
2014/15,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,1100
2014/15,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,7700
2014/15,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,1900
2014/15,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,0
2014/15,All,All admissions,Hospital admissions,Number of admissions,All admissions,Female,5870400
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Female,782329
2014/15,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Female,863004
2014/15,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Female,310552
2014/15,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Female,384570
2014/15,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Female,740767
2014/15,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,40987
2014/15,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,6132
2014/15,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,8303
2014/15,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,739
2014/15,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,6559
2014/15,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,16148
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,5303
2014/15,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,5380
2014/15,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,12320
2014/15,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,4699
2014/15,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,17456
2014/15,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,2749
2014/15,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,63350
2014/15,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,103652
2014/15,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,130907
2014/15,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,86294
2014/15,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,15655
2014/15,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,52420
2014/15,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,2705
2014/15,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,4686
2014/15,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,11659
2014/15,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,22278
2014/15,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,4179
2014/15,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,97720
2014/15,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,48618
2014/15,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,11431
2014/15,All,All admissions,Hospital admissions,Attributable number,All admissions,Female,181600
2014/15,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Female,49800
2014/15,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Female,68200
2014/15,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Female,39500
2014/15,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Female,9900
2014/15,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,29600
2014/15,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,2900
2014/15,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,4900
2014/15,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,500
2014/15,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,700
2014/15,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,4600
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,400
2014/15,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,600
2014/15,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,3000
2014/15,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,900
2014/15,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1600
2014/15,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,2200
2014/15,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,48200
2014/15,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,17700
2014/15,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,12700
2014/15,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,15300
2014/15,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,2700
2014/15,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,6900
2014/15,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,1500
2014/15,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,500
2014/15,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,5100
2014/15,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,3200
2014/15,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,1600
2014/15,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,9000
2014/15,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,4800
2014/15,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,500
2013/14,All,All admissions,Hospital admissions,Number of admissions,All admissions,All persons,10602739
2013/14,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,All persons,1634266
2013/14,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,All persons,1631637
2013/14,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,All persons,538994
2013/14,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,All persons,892712
2013/14,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,All persons,1390104
2013/14,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,87633
2013/14,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,21304
2013/14,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,29447
2013/14,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,4335
2013/14,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,7000
2013/14,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,73077
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,14385
2013/14,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,19288
2013/14,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,24885
2013/14,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,8237
2013/14,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,40689
2013/14,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,5309
2013/14,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,112703
2013/14,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,172271
2013/14,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,281338
2013/14,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,270282
2013/14,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,41039
2013/14,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,105548
2013/14,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,12212
2013/14,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,13038
2013/14,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,22103
2013/14,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,36895
2013/14,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,6281
2013/14,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,145191
2013/14,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,68487
2013/14,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,11289
2013/14,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,454700
2013/14,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,158800
2013/14,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,125600
2013/14,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,130800
2013/14,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,18400
2013/14,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,70000
2013/14,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,13900
2013/14,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,19300
2013/14,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3400
2013/14,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,800
2013/14,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,28800
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3500
2013/14,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,4000
2013/14,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5700
2013/14,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,2800
2013/14,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,6700
2013/14,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,4500
2013/14,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,86800
